gtin ,sku ,stock,(1) price before discount,(2) price after discount,collectionhours
4751043577109,000066-0004-XL,0,21.00,11.00,72
4751043577123,000066-0004-2XL,7,21.00,11.00,24
4751043577147,000066-0004-3XL,0,21.00,11.00,24
4751043577161,000066-0004-4XL,0,21.00,16.80,72
4751043577185,000066-0004-5XL,0,21.00,16.80,72
4751043577208,000067-0024-XS,0,21.00,16.80,72
4751043577222,000067-0024-S,0,21.00,16.80,72
4751043577246,000067-0024-M,0,21.00,16.80,72
4751043577260,000067-0024-L,0,21.00,16.80,72
4751043577284,000067-0024-XL,0,21.00,16.80,72
4751043577307,000067-0024-2XL,0,21.00,16.80,72
4751043577321,000067-0024-3XL,0,21.00,16.80,72
4751043577345,000067-0024-4XL,0,21.00,16.80,72
4751043577369,000067-0024-5XL,0,21.00,16.80,72
4751043577383,000067-0006-XS,0,21.00,16.80,72
4751043577406,000067-0006-S,3,21.00,16.80,24
4751043577420,000067-0006-M,0,21.00,16.80,72
4751043577444,000067-0006-L,0,21.00,16.80,72
4751043577468,000067-0006-XL,6,21.00,16.80,24
4751043577482,000067-0006-2XL,5,21.00,16.80,24
4751043577505,000067-0006-3XL,0,21.00,16.80,72
4751043577529,000067-0006-4XL,0,21.00,16.80,72
4751043577543,000067-0006-5XL,0,21.00,16.80,72
4751043570757,000085-0002,0,35.00,,24
4751043570771,000085-0009,36,35.00,,24
4751043570795,000086-0002,0,41.00,,72
4751043570818,000086-0009,4,41.00,,24
4751043570832,000087-0003,8,30.00,24.99,24
4751043570856,000088-0003,19,25.00,12.50,24
4751043570870,000088-0006,20,25.00,12.50,24
4751043577741,000072-0029-XS,1,159.00,99.00,24
4751043577765,000072-0029-S,1,159.00,99.00,24
4751043577789,000072-0029-M,4,159.00,99.00,24
4751043577802,000072-0029-L,0,159.00,,24
4751043577826,000072-0029-XL,0,159.00,,24
4751043577840,000072-0029-2XL,0,159.00,,24
4751043577864,000072-0029-3XL,2,159.00,99.00,24
4751043577888,000072-0029-4XL,1,159.00,99.00,24
4751043577901,000072-0029-5XL,2,159.00,99.00,72
4751043577925,000072-0006-XS,1,149.00,80.00,72
4751043577949,000072-0006-S,2,149.00,80.00,72
4751043577963,000072-0006-M,3,149.00,80.00,72
4751043577987,000072-0006-L,2,149.00,80.00,72
4751043578007,000072-0006-XL,0,149.00,80.00,72
4751043578021,000072-0006-2XL,1,149.00,80.00,72
4751043578045,000072-0006-3XL,3,149.00,80.00,72
4751043578069,000072-0006-4XL,3,149.00,80.00,72
4751043578083,000072-0006-5XL,1,149.00,80.00,72
4751043578106,000072-0024-XS,0,149.00,80.00,72
4751043578120,000072-0024-S,1,149.00,80.00,72
4751043578144,000072-0024-M,1,149.00,80.00,24
4751043578168,000072-0024-L,0,149.00,80.00,72
4751043578182,000072-0024-XL,0,149.00,80.00,24
4751043578205,000072-0024-2XL,1,149.00,80.00,24
4751043578229,000072-0024-3XL,1,149.00,80.00,24
4751043578243,000072-0024-4XL,1,149.00,80.00,24
4751043578267,000072-0024-5XL,0,149.00,80.00,24
4751043578281,000073-0025-XS,0,229.00,169.80,72
4751043578304,000073-0025-S,0,229.00,169.80,72
4751043578328,000073-0025-M,0,229.00,169.80,72
4751043578342,000073-0025-L,0,229.00,169.80,72
4751043578366,000073-0025-XL,0,229.00,169.80,72
4751043578380,000073-0025-2XL,3,229.00,169.80,24
4751043578403,000073-0025-3XL,3,229.00,169.80,24
4751043578427,000073-0025-4XL,3,229.00,169.80,24
4751043578441,000073-0025-5XL,0,229.00,169.80,24
4751043578465,000084-0030-XS,2,249.00,79.00,72
4751043578489,000084-0030-S,4,249.00,79.00,72
4751043578502,000084-0030-M,0,249.00,199.80,72
4751043578526,000084-0030-L,0,249.00,199.80,72
